locationKey,address,city,state,zipcode,latitude,longitude,neighborhoodKey
115,46 Blue Jays Way,Toronto,ON,M5V 2G3,43.6451305,-79.3922065,123
116,4700 Keele Street,Toronto,ON,M3J 2S5,43.774239200000004,-79.5014316,140
117,44 McAdam Ave,Toronto,ON,M6A 1S5,43.7221314,-79.45935250000001,139
118,3232 Lake Shore Blvd W,Toronto,ON,M8V 1M1,43.5973433,-79.52172409999999,87
119,709 Mount Pleasant Road,Toronto,ON,M4S 2N4,43.7066823567,-79.3894361,83
120,3495 Lawrence Avenue E,Toronto,ON,M1H 1A9,43.758022,-79.22743100000001,133
121,1095 Yonge Street,Toronto,ON,M4W 2L8,43.6800369,-79.3905192,105
122,"Shops at Don Mills, 42 Clock Tower Road",Toronto,ON,M3C 0G3,43.7344502639,-79.3442045152,5
123,"1089 Kingston Road, Suite 5",Toronto,ON,M4E 3S2,43.680469,-79.282829,13
124,50A Rexdale Blvd,Toronto,ON,M9W 5Z3,43.7137919,-79.5592962,102
125,624 Yonge Street,Toronto,ON,M4Y 1Z8,43.666219399999996,-79.38525390000001,7
126,3401 Dufferin St,Toronto,ON,M6A,43.725108299999995,-79.4528087,139
127,2440 Bloor Street W,Toronto,ON,M6S 1P9,43.6496026,-79.48433179999999,107
128,445 Rexdale Boulevard,Toronto,ON,M9W 6K5,43.7160617934,-79.5940264687,125
129,"955 Queen Street W, Unit 111",Toronto,ON,M6J 3X5,43.64508,-79.4144993,88
130,370 King Street W,Toronto,ON,M5V 1J9,43.646311931499994,-79.39132929600001,123
131,"Dragon City Centre, 280 Spadina Ave",Toronto,ON,M5T,43.652635499999995,-79.3983795,63
132,"10 Ravel Road, Unit 1-2",Toronto,ON,M2H 1S8,43.7903766,-79.365383,53
133,1333 Kennedy Road,Toronto,ON,M1P 2L6,43.761365399999995,-79.27937940000001,32
134,1506 Yonge Street,Toronto,ON,M4T 1Z6,43.6889196,-79.3945875,138
135,"344 Eastern Avenue, Unit 1",Toronto,ON,M4M,43.656732299999994,-79.3480672,111
136,"2437 Finch Avenue W, Unit 9 - 10",Toronto,ON,M9M 2E7,43.7507696674,-79.5464342695,55
137,74 Dundas Street E,Toronto,ON,M5B 1C7,43.6563929,-79.378509,24
138,1008 Danforth Avenue,Toronto,ON,M4J 1M2,43.6806948,-79.3368718,29
139,754 Yonge Street,Toronto,ON,M4Y 2B6,43.6692612,-79.3868327,7
140,630 Keele St,Toronto,ON,M6N 3E5,43.672212,-79.467928,60
141,1026 Queen Street E,Toronto,ON,M4M 1K4,43.6615696,-79.3385016,111
142,1370 Street Clair W,Toronto,ON,M6E 1C4,43.675498504,-79.45472621340001,28
143,"3389 Steeles Avenue E, Suite 130A",Toronto,ON,M2H 3S8,43.813686700000005,-79.3440034,53
144,NA,Toronto,ON,M5G 2A7,43.638614000000004,-79.387939,123
145,2 St Clair Avenue E,Toronto,ON,M4T 2T5,43.688311838000004,-79.3946593069,138
146,1 Sultan Street,Toronto,ON,M5S 1L6,43.6687719039,-79.3902338231,7
147,860 Yonge Street,Toronto,ON,M4W 2J1,43.6722829,-79.38776390000001,4
148,744 St Clair Avenue W,Toronto,ON,M6C 1B5,43.6813999,-79.4278949,136
149,110 Harbour Street,Toronto,ON,M5J 0B7,43.641496000000004,-79.380258,123
150,118 John Street,Toronto,ON,M5V 2E2,43.6482939644,-79.3906370695,123
151,423 Queen Street West,Toronto,ON,M5V 2A5,43.6487356,-79.3952314,123
152,619 Mount Pleasant Road,Toronto,ON,M4S 2M5,43.7042023,-79.38828070000001,83
153,657 College Street,Toronto,ON,M6G 1B7,43.6549209,-79.4163139,120
154,"3278 Midland Avenue, Unit D106",Toronto,ON,M1V 0C9,43.80492921,-79.288043417,77
155,57 Spadina Avenue,Toronto,ON,M5V 2J2,43.6450607,-79.3942272,123
156,"300 Borough Drive, Upper Level",Toronto,ON,M1P 4P5,43.776210530600004,-79.25734623609999,12
157,1172 Bay Street,Toronto,ON,M5S 2B4,43.6691174,-79.3896124,7
158,207 Augusta Avenue,Toronto,ON,M5T 2L4,43.654062200000006,-79.40147859999999,63
159,260 Dupont St,Toronto,ON,M5R 1V7,43.6751354,-79.40665229999999,4
160,505 Dupont St,Toronto,ON,M6G 1Y6,43.67245820000001,-79.4159879,4
161,"Holiday Inn, 30 Carlton Street",Toronto,ON,M5B 2E9,43.6617125,-79.38110429999999,24
162,207 Queens Quay W,Toronto,ON,M5J 1A7,43.6393257553,-79.3805263371,123
163,505 University Avenue,Toronto,ON,M5G,43.65583529999999,-79.3881303,7
164,997 Dupont Street,Toronto,ON,M6H 1Z5,43.6698988,-79.43154859999999,33
165,251 Queen Street E,Toronto,ON,M5A 1S6,43.6545374,-79.3684427,80
166,89 Chestnut Street,Toronto,ON,M5G 1R1,43.654420721499996,-79.3852758408,7
167,1182 St Clair Avenue W,Toronto,ON,M6E 1B4,43.678000000000004,-79.443872,28
168,3038  Danforth Avenue,Toronto,ON,M4C 1N2,43.6911713,-79.2897071,116
169,124 Dundas St W,Toronto,ON,M5G 1C3,43.6557407,-79.3846245,7
170,1985 Danforth Avenue,Toronto,ON,M4C 1J7,43.6850809,-79.31499009999999,134
171,25 King Street W Commerce Court N,Toronto,ON,M5L 1G5,43.648534399999996,-79.37899990000001,7
172,2650 Lawrence Avenue E,Toronto,ON,M1P 2S1,43.752733,-79.264041,12
173,"3401 Dufferin Street, 244A",Toronto,ON,M6A 3A1,43.725698,-79.450252,139
